"title","sales_price","original_price","discount"
"Hp Notebook 15-AMD RYZEN 3 -16GB RAM/1TBGB HDD - Windows 10","₦ 117,000","₦ 200,900","35%"
"Hp ProBook11 X360-Intel Celeron 512GB 4GBRAM Windows10+MOUSE","₦ 515,000","₦ 680,900","35%"
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT","₦ 505,000","₦ 750,000","35%"
"Hp ProBook 11 X360- TOUCH- 1TB SSD/8GB RAM-Intel CORE I5- Windows 11 PRO LAPTOP + 64GB Flash & BAG","₦ 880,000","₦ 400,000","35%"
"Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO","₦ 505,000","₦ 960,000","35%"
"Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG","₦ 1,065,000","₦ 765,000","35%"
"Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- WIN 11 Pro + BAG","₦ 127,000","₦ 580,000","35%"
"Hp EliteBook 840 G6 Intel Core I5  Touchscreen 16GB RAM/512GB SSD Win 11 Pro+ Mouse","₦ 559,000","₦ 349,000","35%"
"Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 8GB RAM Windows10 Pro + Laptop Pouch","₦ 120,000","₦ 520,000","35%"
"Hp Refurbished EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD Win 11 Pro","₦ 650,000","₦ 930,000","35%"
"Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10","₦ 2,049,000","₦ 600,999","35%"
"Hp Notebook 14 Intel Celeron Dual Core N4020 8GB RAM 1TB HDD WIN 10","₦ 1,310,000","₦ 550,000","35%"
"Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch","₦ 545,000","₦ 1,045,000","35%"
"Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard","₦ 300,000","₦ 1,015,600","35%"
"Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse","₦ 605,000","₦ 800,000","35%"
"Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG","₦ 270,000","₦ 600,000","35%"
"Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD","₦ 485,000","₦ 200,000","35%"
"Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard","₦ 250,000","₦ 550,000","35%"
"Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG","₦ 1,302,000","₦ 400,000","35%"
"Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH","₦ 550,000","₦ 1,710,000","35%"
"Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch","₦ 170,000","₦ 660,000","35%"
"Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro","₦ 535,000","₦ 1,050,000","35%"
"Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch","₦ 300,000","₦ 800,000","35%"
